process,pump_make,pump_model,pump_runtime_hrs,status
Etch,Edwards,E1000,30568.9,Failed
Etch,Busch,B2500,33210.5,Running
Diffusion,Busch,B1500,32173.5,Failed
CVD,Busch,B500,29485.2,Running
CVD,Edwards,E2000,27405.8,Running
CVD,Busch,B1500,6593.0,Failed
Etch,Busch,B1500,18655.6,Failed
Diffusion,Edwards,E3000,23163.7,Failed
Etch,Edwards,E1000,9948.4,Failed
Diffusion,Busch,B500,25413.0,Failed
Diffusion,Busch,B2500,37056.5,Failed
CVD,Busch,B1500,36508.9,Failed
CVD,Edwards,E1000,12276.4,Failed
CVD,Busch,B2500,50520.4,Running
Etch,Edwards,E2000,33292.9,Running
Etch,Busch,B1500,17142.0,Running
CVD,Edwards,E2000,20238.5,Running
Diffusion,Edwards,E1000,28703.5,Running
Etch,Busch,B1500,17383.8,Failed
CVD,Edwards,E1000,24219.3,Failed
CVD,Busch,B500,26758.6,Failed
CVD,Busch,B2500,40025.2,Failed
Etch,Edwards,E2000,15392.8,Running
Diffusion,Edwards,E3000,29903.0,Failed
CVD,Edwards,E2000,11251.9,Running
CVD,Busch,B500,35370.2,Failed
Diffusion,Edwards,E2000,14685.8,Running
CVD,Edwards,E3000,6487.9,Failed
Etch,Busch,B2500,45551.7,Failed
CVD,Edwards,E1000,4304.8,Running
CVD,Busch,B1500,4660.7,Failed
CVD,Edwards,E3000,38628.2,Failed
Etch,Edwards,E3000,24980.3,Failed
CVD,Edwards,E2000,29364.5,Failed
Diffusion,Edwards,E1000,36902.7,Failed
CVD,Busch,B500,39529.7,Failed
Etch,Busch,B1500,20113.0,Failed
CVD,Edwards,E1000,14686.4,Failed
CVD,Edwards,E1000,15485.5,Running
Diffusion,Edwards,E3000,53658.0,Failed
Etch,Busch,B1500,8706.4,Failed
CVD,Edwards,E1000,30129.2,Failed
Diffusion,Edwards,E2000,10841.0,Failed
Etch,Edwards,E2000,34897.7,Failed
Diffusion,Busch,B2500,43215.8,Failed
CVD,Edwards,E1000,906.0,Running
CVD,Edwards,E1000,687.0,Running
CVD,Edwards,E1000,5448.5,Failed
Etch,Edwards,E1000,6655.3,Failed
Diffusion,Edwards,E2000,20919.0,Failed
Diffusion,Edwards,E2000,19231.3,Failed
CVD,Busch,B1500,19077.3,Failed
CVD,Edwards,E2000,20194.9,Failed
Etch,Busch,B500,9221.8,Failed
Etch,Busch,B2500,26916.7,Running
Etch,Edwards,E2000,16812.7,Failed
CVD,Edwards,E3000,1049.8,Running
CVD,Busch,B1500,8349.1,Failed
CVD,Busch,B500,33653.8,Running
CVD,Busch,B1500,6824.8,Failed
Etch,Busch,B1500,29179.8,Running
Etch,Edwards,E3000,1523.7,Failed
Diffusion,Edwards,E2000,22413.5,Failed
Etch,Edwards,E1000,32495.1,Running
Etch,Busch,B2500,28228.2,Failed
Etch,Busch,B2500,14795.8,Failed
Etch,Busch,B500,1389.1,Running
Etch,Edwards,E2000,30829.2,Failed
CVD,Edwards,E3000,7970.2,Failed
Etch,Busch,B2500,17968.0,Running
Etch,Busch,B500,9196.2,Failed
CVD,Busch,B500,37184.7,Running
Etch,Busch,B1500,13589.7,Running
Etch,Edwards,E3000,15769.4,Failed
Etch,Busch,B1500,16051.3,Failed
CVD,Busch,B500,44165.8,Failed
CVD,Edwards,E1000,16047.0,Failed
Etch,Edwards,E3000,26481.2,Failed
Etch,Busch,B1500,10907.4,Running
Etch,Busch,B2500,31927.7,Failed
Etch,Busch,B500,31785.5,Failed
CVD,Edwards,E1000,5522.2,Running
CVD,Edwards,E1000,33167.5,Failed
Etch,Busch,B500,24596.0,Failed
