Rank,Name,Position,Team,Notes
1,Christian McCaffrey,RB,SF,Consensus overall RB1 when healthy
2,Bijan Robinson,RB,ATL,Age 25 prime workhorse
3,CeeDee Lamb,WR,DAL,Consensus WR1
4,Ja'Marr Chase,WR,CIN,Elite top-3 lock
5,Justin Jefferson,WR,MIN,Elite route runner
6,Breece Hall,RB,NYJ,Bell-cow in prime
7,De'Von Achane,RB,MIA,Elite speed + pass catching
8,Josh Allen,QB,BUF,Consensus QB1
9,Jahmyr Gibbs,RB,DET,Explosive in high-powered offense
10,Lamar Jackson,QB,BAL,Best rushing QB value
11,Tyreek Hill,WR,MIA,Elite speed threat
12,Amon-Ra St. Brown,WR,DET,Volume monster slot WR
13,Sam LaPorta,TE,DET,Consensus TE1
14,Brock Bowers,TE,LV,Generational TE in year 3
15,Saquon Barkley,RB,PHI,Physical workhorse
16,Puka Nacua,WR,LAR,High-floor slot PPR
17,Patrick Mahomes,QB,KC,Elite floor + ceiling
18,Garrett Wilson,WR,NYJ,Top WR2 upside
19,Jonathan Taylor,RB,IND,Elite talent when healthy
20,Tee Higgins,WR,CIN,Burrow's #1 with Chase
21,Travis Kelce,TE,KC,Aging but positional advantage
22,Jalen Hurts,QB,PHI,Dual-threat QB2
23,Rashee Rice,WR,KC,Mahomes target hog
24,Marvin Harrison Jr,WR,ARI,Year 3 breakout
25,Drake London,WR,ATL,Bijan's pass-catching complement
26,Trey McBride,TE,ARI,Underrated TE1 upside
27,Zay Flowers,WR,BAL,Lamar's deep threat
28,Joe Burrow,QB,CIN,Elite when healthy
29,Jaxon Smith-Njigba,WR,SEA,Ascending slot star
30,Mark Andrews,TE,BAL,Veteran TE1 floor
31,CJ Stroud,QB,HOU,Young franchise QB
32,Jordan Addison,WR,MIN,Jefferson's emerging sidekick
33,George Pickens,WR,PIT,Big-play specialist
34,Brian Thomas Jr,WR,JAX,Breakout year 3
35,Malik Nabers,WR,NYG,Elite talent
36,Tony Pollard,RB,TEN,Lead back workhorse
37,Josh Jacobs,RB,GB,Love connection
38,Kyren Williams,RB,LAR,McVay workhorse
39,Jordan Love,QB,GB,Young franchise QB
40,Tank Dell,WR,HOU,Explosive deep threat
41,Caleb Williams,QB,CHI,Year 3 breakout
42,Deebo Samuel,WR,SF,Versatile all-purpose weapon
43,Brandon Aiyuk,WR,SF,Elite when featured
44,DJ Moore,WR,CHI,Caleb Williams top target
45,Travis Etienne,RB,JAX,Three-down back
46,Anthony Richardson,QB,IND,Elite rushing upside if healthy
47,Michael Pittman Jr,WR,IND,High-floor possession WR
48,Chris Olave,WR,NO,Speed + route runner
49,Jaylen Waddle,WR,MIA,Tyreek's PPR sidekick
50,Jake Ferguson,TE,DAL,Red-zone TE2 value
51,Dalton Kincaid,TE,BUF,Allen's security blanket
52,Isiah Pacheco,RB,KC,Mahomes backfield workhorse
53,Rhamondre Stevenson,RB,NE,Three-down workhorse
54,Rachaad White,RB,TB,Pass-catching lead back
55,Kyle Pitts,TE,ATL,Perpetual breakout candidate
56,David Montgomery,RB,DET,Reliable red-zone RB
57,Trevor Lawrence,QB,JAX,Ascending franchise QB
58,Rome Odunze,WR,CHI,High-ceiling year 3
59,Ladd McConkey,WR,LAC,PPR slot machine
60,T.J. Hockenson,TE,MIN,Elite when healthy
61,Brian Robinson Jr,RB,WAS,Physical workhorse
62,Tucker Kraft,TE,GB,Love's red-zone target
63,D'Andre Swift,RB,CHI,Pass-catching RB
64,Kyler Murray,QB,ARI,Dual-threat upside
65,Joe Mixon,RB,HOU,High-volume veteran
66,Romeo Doubs,WR,GB,Reliable secondary target
67,Jonathon Brooks,RB,CAR,Young workhorse
68,Trey Benson,RB,ARI,Emerging lead back
69,Drake Maye,QB,NE,Year 3 breakout
70,Aaron Jones,RB,MIN,Pass-catching veteran
71,Javonte Williams,RB,DEN,Physical runner
72,Evan Engram,TE,JAX,Reliable security blanket
73,Zamir White,RB,LV,Lead back upside
74,Quentin Johnston,WR,LAC,Big-play deep threat
75,Chuba Hubbard,RB,CAR,Reliable workhorse
76,Joshua Palmer,WR,LAC,Reliable possession WR
77,Wan'Dale Robinson,WR,NYG,Slot PPR value
78,Jaylen Warren,RB,PIT,Pass-catching specialist
79,Luke Musgrave,TE,GB,Ascending receiving TE
80,Will Levis,QB,TEN,High upside late dart
81,Dawson Knox,TE,BUF,Red-zone TE
82,Jakobi Meyers,WR,LV,High-floor slot
83,Stefon Diggs,WR,HOU,Veteran deep threat
84,Gus Edwards,RB,LAC,Physical short-yardage back
85,Keenan Allen,WR,CHI,Veteran high floor
86,J.J. McCarthy,QB,MIN,Breakout potential
87,Jonnu Smith,TE,MIA,Reliable pass catcher
88,Evan McPherson,K,CIN,Elite kicker
89,Tyler Bass,K,BUF,High-volume high-scoring offense
90,Justin Tucker,K,BAL,Greatest kicker of all time
91,Younghoe Koo,K,ATL,Reliable
92,Chris Boswell,K,PIT,Reliable veteran
93,Harrison Butker,K,KC,High-scoring offense
94,Jake Elliott,K,PHI,Reliable
95,Ravens DST,DEF,BAL,Elite pass rush + takeaways
96,49ers DST,DEF,SF,Elite all-around unit
97,Cowboys DST,DEF,DAL,Elite pass rush
98,Bills DST,DEF,BUF,Consistent + opportunistic
99,Chiefs DST,DEF,KC,Championship-caliber
100,Browns DST,DEF,CLE,Elite front seven
